Symbol,Description
KOCI,PT Kokoh Exa Nusantara Tbk
KOTA,PT DMS Propertindo Tbk
KREN,PT Quantum Clovera Investama Tbk
KRYA,PT Bangun Karya Perkasa Jaya Tbk
KUAS,PT Ace Oldfields Tbk
LAJU,PT Jasa Berdikari Logistics Tbk
LAPD,PT Leyand International Tbk
LEAD,PT Logindo Samudramakmur Tbk
LIVE,PT Homeco Victoria Makmur Tbk
LOPI,PT Logisticsplus International Tbk
LPKR,PT Lippo Karawaci Tbk
LPPS,PT Lenox Pasifik InvestamaTbk Class A
LUCK,PT Sentral Mitra Informatika Tbk
MAHA,PT Mandiri Herindo Adiperkasa Tbk
MAIN,PT Malindo Feedmill Tbk
MANG,PT Manggung Polahraya Tbk
MAXI,PT Maxindo Karya Anugerah Tbk
MAYA,PT Bank Mayapada Internasional Tbk Class A
MBTO,PT Martina Berto Tbk
MCOR,PT Bank China Construction Bank Indonesia Tbk
MDLA,PT Medela Potentia Tbk
MDLN,PT Modernland Realty Tbk Class A
MDRN,PT Modern Internasional Tbk
MEDS,PT Hetzer Medical Indonesia Tbk
MEJA,PT Harta Djaya Karya Tbk
MGNA,PT Magna Investama Mandiri Tbk
MGRO,PT Mahkota Group Tbk
MHKI,PT Multi Hanna Kreasindo Tbk
MIDI,PT Midi Utama Indonesia Tbk
MIRA,PT Mitra International Resources Tbk
MMIX,PT Multi Medika Internasional Tbk
MMLP,PT Mega Manunggal Property Tbk
MNCN,PT Media Nusantara Citra Tbk
MOLI,PT Madusari Murni Indah Tbk
MPIX,PT Mitra Pedagang Indonesia Tbk
MPOW,PT Megapower Makmur Tbk
MPPA,PT Matahari Putra Prima Tbk
MPXL,PT MPX Logistics International Tbk
MSIE,PT Multisarana Intan Eduka Tbk
MSJA,PT Multi Spunindo Jaya Tbk
MSKY,PT MNC Vision Network
MTDL,PT Metrodata Electronics Tbk
MTEL,PT Dayamitra Telekomunikasi Tbk
MTFN,PT Capitalinc Investment Tbk Class A
MUTU,PT Mutuagung Lestari Tbk
NAIK,PT Adiwarna Anugerah Abadi Tbk
NANO,PT Nanotech Indonesia Global Tbk
NASI,PT Wahana Inti Makmur Tbk
NATO,PT Surya Permata Andalan Tbk
NAYZ,PT Hassana Boga Sejahtera Tbk
NEST,PT Esta Indonesia Tbk
NIKL,PT Pelat Timah Nusantara Tbk
NIRO,PT City Retail Developments Tbk
NPGF,PT Nusa Palapa Gemilang Tbk
NSSS,PT Nusantara Sawit Sejahtera Tbk
NZIA,PT Nusantara Almazia Tbk
OILS,PT Indo Oil Perkasa Tbk
OKAS,PT Ancora Indonesia Resources Tbk
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk
OMED,PT Jayamas Medica Industri Tbk
OPMS,PT Optima Prima Metal Sinergi Tbk
PADA,PT Personel Alih Daya Tbk
