Symbol,Description
AALI,PT Astra Agro Lestari Tbk
AUTO,PT Astra Otoparts Tbk
CMRY,PT Cisarua Mountain Dairy Tbk
DSSA,PT Dian Swastatika Sentosa Tbk
GGRM,PT Gudang Garam Tbk
ITMG,PT Indo Tambangraya Megah Tbk
MIKA,PT Mitra Keluarga Karyasehat Tbk
RISE,PT Jaya Sukses Makmur Sentosa Tbk
UNTR,PT United Tractors Tbk
